SignalDate,Code,Name,Source_D10_Top20,Source_ReLaunch,D10Rank,D10ExplosionScore,ReLaunchTracks,R0_BASE_ONSET,R1_CCI_ONSET,R2_J_ONSET,R3_EITHER_ONSET,R4_BOTH_ONSET
2026-09-04,6423,億而得,False,True,,,R0_BASE|R2_J|R3_EITHER,True,False,True,True,False
2026-09-04,6462,神盾,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,6494,九齊,False,True,,,R0_BASE|R2_J|R3_EITHER,True,False,True,True,False
2026-09-04,6505,台塑化,False,True,,,R0_BASE|R2_J|R3_EITHER,True,False,True,True,False
2026-09-04,6538,倉和,True,False,19.0,0.25950688,,False,False,False,False,False
2026-09-04,6548,長科*,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,6620,漢達,False,True,,,R0_BASE,True,False,False,False,False
2026-09-04,6640,均華,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,6642,富致,False,True,,,R0_BASE,True,False,False,False,False
2026-09-04,6671,三能-KY,False,True,,,R0_BASE,True,False,False,False,False
2026-09-04,6693,廣閎科,False,True,,,R0_BASE,True,False,False,False,False
2026-09-04,6706,惠特,False,True,,,R0_BASE|R2_J|R3_EITHER,True,False,True,True,False
2026-09-04,6781,AES-KY,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,6792,詠業,False,True,,,R0_BASE,True,False,False,False,False
2026-09-04,6859,伯特光,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,6872,浩宇生醫,False,True,,,R0_BASE,True,False,False,False,False
2026-09-04,6887,寶綠特-KY,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,6924,榮惠-KY創,False,True,,,R0_BASE|R2_J|R3_EITHER,True,False,True,True,False
2026-09-04,6933,AMAX-KY,True,False,4.0,0.2773682,,False,False,False,False,False
2026-09-04,7584,樂意,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,7709,榮田,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,7711,永擎,True,True,5.0,0.27386764,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,7717,萊德光電-KY,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,7744,崴寶,False,True,,,R0_BASE|R2_J|R3_EITHER,True,False,True,True,False
2026-09-04,7750,新代,True,False,18.0,0.25976926,,False,False,False,False,False
2026-09-04,7772,耀穎,True,True,1.0,0.2875214,R0_BASE,True,False,False,False,False
2026-09-04,7788,松川精密,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,7811,民盛,False,True,,,R0_BASE|R2_J|R3_EITHER,True,False,True,True,False
2026-09-04,7828,創新服務,False,True,,,R0_BASE|R2_J|R3_EITHER,True,False,True,True,False
2026-09-04,8064,東捷,False,True,,,R0_BASE|R2_J|R3_EITHER,True,False,True,True,False
2026-09-04,8070,長華*,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,8103,瀚荃,True,False,17.0,0.25978374,,False,False,False,False,False
2026-09-04,8147,正淩,False,True,,,R0_BASE,True,False,False,False,False
2026-09-04,8240,華宏,False,True,,,R0_BASE|R2_J|R3_EITHER,True,False,True,True,False
2026-09-04,8432,東生華,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,8481,政伸,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,8488,吉源-KY,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,8996,高力,False,True,,,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH,True,True,True,True,True
2026-09-04,9105,泰金寶-DR,False,True,,,R0_BASE,True,False,False,False,False
