SignalDate,Code,Name,Close,EMA9,EMA20,EMA_GAP_PCT,EMA9_DELTA_PCT,EMA20_DELTA_PCT,MACD_HIST,MACD_ACCEL1,MACD_ACCEL2,CCI20,CCI20_DELTA1,CCI_TURN,J,J_DELTA1,J_TURN,PULLBACK_RECOVERY,BB_CONTRACT,R0_BASE_ONSET,R1_CCI_ONSET,R2_J_ONSET,R3_EITHER_ONSET,R4_BOTH_ONSET,TrackFlags
2026-09-04,2477,美隆電,21.649999618530273,21.382205260726423,21.311511250251037,0.3317174912903065,0.3140876531934289,0.16746829299518762,0.0944753301227253,0.007349957300468196,6.673429236268846e-05,54.28806728771784,7.929674051921168,True,62.09149691258757,10.457584293615042,False,True,0,True,True,False,True,False,R0_BASE|R1_CCI|R3_EITHER
2026-09-04,2515,中工,12.149999618530272,12.035945001629358,12.027836954544174,0.06741068336582057,0.23746672706477234,0.10702664691066843,0.0359968584533533,0.005762485074626098,0.015428094479748494,125.63023495933042,100.06234100442202,True,88.09514402529642,89.52380848578203,True,True,1,True,True,True,True,True,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH
2026-09-04,2530,華建,20.149999618530273,19.549970129164205,19.51451282324484,0.18169711045581405,0.7732353624687383,0.343966761347958,0.0580496339013999,0.0493492223149279,0.0320525880483947,255.7350693876879,190.82170467969303,False,149.92487678680195,74.56268774692842,False,True,1,True,False,False,False,False,R0_BASE
2026-09-04,2545,皇翔,34.849998474121094,34.57702582486318,34.36318525397233,0.6222955448116574,0.19775592486646065,0.14934595430506903,0.0919328408150801,0.0005214064267694968,0.011941212290864492,66.99997896244659,23.983448647743856,False,103.47206658772356,14.832947783690514,False,True,1,True,False,False,False,False,R0_BASE
2026-09-04,2881,富邦金,150.5,143.46549908017911,138.12881723853585,3.86355428818832,1.2410302917372773,0.9517373694717612,1.3974128800778045,0.11575334166946094,0.1266712779663517,133.08701843513074,12.970642707782432,False,99.84613134415682,9.194968553459205,False,True,0,True,False,False,False,False,R0_BASE
2026-09-04,2924,宏太-KY,17.899999618530273,17.268322510227726,17.193570486332625,0.4347673099925453,0.9229430477106781,0.4343714654298614,0.1221639275181993,0.0399882187703368,0.0785833869746915,83.0526713958959,91.28939428478397,True,118.27956096107832,94.08595683546193,True,True,1,True,True,True,True,True,R0_BASE|R1_CCI|R2_J|R3_EITHER|R4_BOTH
2026-09-04,2939,永邑-KY,20.0,19.73568887407586,19.597951289983403,0.7028162385670056,0.33593842384567196,0.21641295134102734,0.0523112917779702,0.0097821076525757,0.0204954321386542,70.77827159713702,33.87766331237866,False,66.66666666666661,30.434690065676335,True,True,1,True,False,True,True,False,R0_BASE|R2_J|R3_EITHER
2026-09-04,3017,奇鋐,3570.0,3316.7957100957055,3129.2688466012346,5.992673454636144,1.9456332198656057,1.504852987295724,21.20710888706253,9.041259553469187,18.37007580826133,128.95055610615583,31.812654978662493,True,135.10828025477701,80.929789882129,False,True,1,True,True,False,True,False,R0_BASE|R1_CCI|R3_EITHER
2026-09-04,3021,鴻名,24.299999237060547,21.370797570021974,21.075772339891163,1.3998311680962772,3.5482254900710775,1.636699869473679,0.4928657744932185,0.20209038548918362,0.08935849248755584,387.3395062947365,227.38985602548053,False,140.0,-43.9716565333714,False,True,0,True,False,False,False,False,R0_BASE
2026-09-04,3023,信邦,340.0,324.45736611448183,319.16278640777347,1.6588963162966763,1.2121027460431755,0.6919882283783041,1.8751649140756168,0.9134589439859212,0.8652067606475936,219.84989648033076,-17.89293423197384,False,122.3771722806265,93.42539317222864,True,True,1,True,False,True,True,False,R0_BASE|R2_J|R3_EITHER
